Record Type,Company,Req Number,Line Number,Item,Item Type,Service Code,Description,Quantity,Entered UOM,Tran Unit Cost,Override Cst Fl,Create PO Fl,Agreement Ref,Vendor,Purch Fr Loc,Purch Class Major,Purch Class Minor,Buyer,From Company,From Location,Requesting Location,Req Delivery Date,Late Delivery Date,Creation Date,Distribution Code,PO Code,Purchase Tax Code,Purchase Tax Fl,Certification Req Fl,Inspection Req Fl,PO User Fld 2,PO User Fld 4,PO User Fld 6,User Date 3,User Date 4,Allocate Priority,Deliver To,Manufacturer Code,Manuf Division,Manuf Number,New Req,Fill or Kill Flag,Tran Curr Code
L,10,0,1,SC-4275,X,,Precision Hex Wrench,10000,EA,4800000,Y,Y,,,P009,,,BCS,10,WARE,72000,20250405,,,,BILL,,N,N,N,,,,20250405,20250405,,,,,,,K,
L,10,0,2,138152,N,,ALPHA FEEELINK REMOTE KITBLE,10000,EA,150000000,N,Y,,,P009,,,BCS,10,WARE,72000,20250405,,,,BILL,,N,N,N,,,,20250405,20250405,,,,,,,K,
L,10,0,3,138153,N,,Precision Charging System,10000,EA,150000000,N,Y,,,P009,,,BCS,10,WARE,72000,20250405,,,,BILL,,N,N,N,,,,20250405,20250405,,,,,,,K,
L,10,0,4,138104,N,,WAVEWRITER ALPHA 32 IPG KIT,10000,EA,1930000000,N,Y,,,P009,,,BCS,10,WARE,72000,20250405,,,,BILL,,N,N,N,,,,20250405,20250405,,,,,,,K,
